Product - for our reference only,Product Name,SEO-Friendly Product Title,Description,Colour,Dimension,Material ,Country of origin ,Cost to Decoristta,Total Cost to decoristta,MRP,Launch Price (25% OFF)- Selling price,Customer Saves,Inventory created
57614 (48)-Ceramic Pot,Elegant 3D Floral Ceramic Vase- White,White Handcrafted Ceramic Floral Vase with 3D Flower Design | Decorative Home Decor Vase,"Bring elegance and freshness to your home décor with this Handcrafted White Ceramic Flower Vase, beautifully designed with delicate 3D white floral embellishments that add a charming artistic touch. The glossy finish creates a calming and sophisticated look, making it a perfect decorative accent for modern, contemporary, farmhouse, and minimalist interiors.
Crafted from premium-quality ceramic, this vase is both durable and stylish. Its cylindrical silhouette with a gently flared neck is ideal for displaying fresh flowers, dried pampas grass, artificial arrangements, or simply as a standalone decorative piece.",White with White Floral Embellishments,,Premium Ceramic,Made in PRC,290,492.2,1299,975,324,
57615 (48)-Ceramic Pot,Elegant 3D Floral Ceramic Vase- Blue,Sky Blue Handcrafted Ceramic Floral Vase with 3D Flower Design | Decorative Home Decor Vase,"Bring elegance and freshness to your home décor with this Handcrafted Sky Blue Ceramic Flower Vase, beautifully designed with delicate 3D white floral embellishments that add a charming artistic touch. The glossy pastel blue finish creates a calming and sophisticated look, making it a perfect decorative accent for modern, contemporary, farmhouse, and minimalist interiors.
Crafted from premium-quality ceramic, this vase is both durable and stylish. Its cylindrical silhouette with a gently flared neck is ideal for displaying fresh flowers, dried pampas grass, artificial arrangements, or simply as a standalone decorative piece.",Sky Blue with White Floral Embellishments,,Premium Ceramic,Made in PRC,290,492.2,1299,975,324,
57613 (48)-Ceramic Pot,Elegant 3D Floral Ceramic Vase- Pink,Light pink Handcrafted Ceramic Floral Vase with 3D Flower Design | Decorative Home Decor Vase,"Bring elegance and freshness to your home décor with this Handcrafted Pink Ceramic Flower Vase, beautifully designed with delicate 3D white floral embellishments that add a charming artistic touch. The glossy finish creates a calming and sophisticated look, making it a perfect decorative accent for modern, contemporary, farmhouse, and minimalist interiors.
Crafted from premium-quality ceramic, this vase is both durable and stylish. Its cylindrical silhouette with a gently flared neck is ideal for displaying fresh flowers, dried pampas grass, artificial arrangements, or simply as a standalone decorative piece.",Pink with White Floral Embellishments,,Premium Ceramic,Made in PRC,290,492.2,1299,975,324,
576727 (24)-Modern Art Ceramic showpiece (green),Emerald Gold Apple Abstract Ceramic Decorative Sculpture,Modern Emerald Green & Gold Ceramic Abstract Sculpture with Golden Apple | Luxury Home Decor Showpiece,,Emerald Green and Golden,,,Made in PRC,690,964.2,2499,1875,624,
51268 (20)-Crystal Lamp (rectangle ),Rose Gold Crystal LED Table Lamp,Modern Rose Gold Crystal LED Table Lamp with Diamond Pattern Shade | Decorative Bedside & Home Decor Lamp,"Enhance your living space with this elegant Rose Gold Crystal LED Table Lamp. Featuring a luxurious crystal-pattern shade and a stylish rose gold base, it creates a warm, ambient glow that's perfect for bedrooms, living rooms, offices, or bedside tables. Its modern design makes it both a functional lighting solution and a sophisticated decorative accent.",Rose gold,,,Made in PRC,920,1235.6,3099,2325,774,
60560 (18)-Yoga Figure Set,Abstract Thinker Figurine Set – Black & Gold (Set of 3),Modern Abstract Thinker Figurine Set of 3 | Black & Gold Decorative Resin Showpieces for Living Room & Office,"Add a touch of modern elegance to your home with this Abstract Thinker Figurine Set. Featuring three minimalist black figurines with striking gold sphere accents, these decorative sculptures bring a contemporary and artistic charm to living rooms, offices, bookshelves, coffee tables, and console displays. Their sleek design complements modern, Nordic, and luxury interiors.",Black and golden,,,Made in PRC,880,1188.4,2999,2249,750,
58190 (24)-Bird with metal stand,Golden Harmony Twin Owl Decorative Sculpture,Modern Black & Gold Twin Owl Decorative Sculpture | Elegant Tabletop Home Decor Showpiece,"Bring elegance and symbolism to your home with the Golden Harmony Twin Owl Decorative Sculpture. Featuring two beautifully crafted black owls perched on a sleek gold circular frame, this contemporary showpiece adds a sophisticated touch to consoles, bookshelves, office desks, and living room décor. Its modern black-and-gold finish complements a wide range of interior styles.",Black and golden ,,,Made in PRC,570,822.6,2099,1575,524,
55279 (24)-Candle stand (green),Rose Gold Luxe Hurricane Candle Holder,Luxury Rose Gold Hurricane Candle Holder with Smoked Glass Shade | Decorative Tabletop Candle Stand,"Enhance your interiors with the Rose Gold Luxe Hurricane Candle Holder, designed to bring elegance and warmth to any space. Featuring a polished rose gold finish, an intricately detailed pedestal, and a smoked glass hurricane shade, this decorative candle holder is perfect for pillar candles or LED candles. An ideal accent piece for dining tables, living rooms, weddings, festive décor, and luxury home styling.",Golden and emerald green,,,Made in PRC,790,1082.2,2799,2099,700,
38254  (24)-Candle stand,,,,,,,Made in PRC,580,834.4,2099,1575,524,
53536  (12)-Candle stand,,,,,,,Made in PRC,730,1011.4,2599,1949,650,
58694 (20)-Horse,Aqua Grace Running Horse Showpiece,Luxury White Running Horse Sculpture with Aqua Crystal Accents | Modern Decorative Home & Office Showpiece,"Bring movement and elegance to your décor with the Aqua Grace Running Horse Sculpture. Featuring a textured white finish with stunning aqua crystal-inspired accents, this artistic horse figurine symbolizes freedom, speed, strength, and success. Its contemporary design makes it a perfect centerpiece for living rooms, offices, shelves, and console tables, adding a refined touch to modern interiors.",White and Aqua blue,,,Made in PRC,560,810.8,2099,1575,524,
60304 (24)-Metal & crystalshowpiece,Golden Blossom Decorative Trinket Holder,Luxury Gold Metal Decorative Trinket Holder with Crystal Floral Design & Mini Bowls | Tabletop Organizer,"Add a touch of elegance to your tabletop with the Golden Blossom Decorative Trinket Holder. Crafted from premium metal with a luxurious gold finish, it features delicate floral stems with crystal glass orbs and three mini bowls. Ideal for holding rings, earrings, keys, potpourri, wrapped candies, or other small decorative items, it serves as both a functional organizer and a beautiful centerpiece for your home.",Golden and black ,,,Made in PRC,590,846.2,2199,1649,550,
